Channel Id,Channel Url,Channel Title
UC6xOAHgx30I_fbvW2jcC04Q,http://www.youtube.com/channel/UC6xOAHgx30I_fbvW2jcC04Q,෴ʲᵘⁱᶜᵉᵃⁿᵈˣˣˣᵘⁿʳᵉˡᵉᵃˢᵉᵈ෴
UC78xVcXbZwxM19rtYudoywg,http://www.youtube.com/channel/UC78xVcXbZwxM19rtYudoywg,The Animated Legend
UC7CxchrET6AiP5duRIPDv9g,http://www.youtube.com/channel/UC7CxchrET6AiP5duRIPDv9g,Restream.io
UC7Gf2tZ8coTX2ckTPgn62iQ,http://www.youtube.com/channel/UC7Gf2tZ8coTX2ckTPgn62iQ,Disney Kids
UC7HiPCtTwr1hu7qNPrqOYtQ,http://www.youtube.com/channel/UC7HiPCtTwr1hu7qNPrqOYtQ,The Marshmallow Co.
UC7Jwj9fkrf1adN4fMmTkpug,http://www.youtube.com/channel/UC7Jwj9fkrf1adN4fMmTkpug,DankPods
UC7K0ffkuU8ZGkbGqLxIoHHg,http://www.youtube.com/channel/UC7K0ffkuU8ZGkbGqLxIoHHg,Ai Sponge (Hosting)
UC7LJSq2EkTUhHiNjpXg22mg,http://www.youtube.com/channel/UC7LJSq2EkTUhHiNjpXg22mg,yikes
UC7R27sAWc_DqOldtI1JcYhQ,http://www.youtube.com/channel/UC7R27sAWc_DqOldtI1JcYhQ,South Park Studios
UC7TWpIQx6Fli7muezhzdv0Q,http://www.youtube.com/channel/UC7TWpIQx6Fli7muezhzdv0Q,Jake Paul
UC7Ucs42FZy3uYzjrqzOIHsw,http://www.youtube.com/channel/UC7Ucs42FZy3uYzjrqzOIHsw,EmpLemon
UC7ZI3TfebzaiOaXIkEx5IzA,http://www.youtube.com/channel/UC7ZI3TfebzaiOaXIkEx5IzA,Studio 31 Media Archive
UC7mBaS1IQthcnee1YGJtlyw,http://www.youtube.com/channel/UC7mBaS1IQthcnee1YGJtlyw,no name brands
UC7mdW-qhZ8rpW-muPZENhMQ,http://www.youtube.com/channel/UC7mdW-qhZ8rpW-muPZENhMQ,Nussys
UC7qJmPQV4pCOMA9JGpwjczg,http://www.youtube.com/channel/UC7qJmPQV4pCOMA9JGpwjczg,Saberfart
UC7tsmXazXxecm5CsFfvDL4Q,http://www.youtube.com/channel/UC7tsmXazXxecm5CsFfvDL4Q,cooper2723 vevo
UC8CsGpP6kVNrWeBVmlJ2UyA,http://www.youtube.com/channel/UC8CsGpP6kVNrWeBVmlJ2UyA,Huggbees
UC8DIU56jF1ev5c6ubG_2IEQ,http://www.youtube.com/channel/UC8DIU56jF1ev5c6ubG_2IEQ,Near
UC8E1TMZpY4_dYxOJgnlD7-Q,http://www.youtube.com/channel/UC8E1TMZpY4_dYxOJgnlD7-Q,new account ∙ 7.7B views ∙ 3 seconds ago　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　.
UC8TGLsfKCeCdbm1S8_Ns_kQ,http://www.youtube.com/channel/UC8TGLsfKCeCdbm1S8_Ns_kQ,Contendo
UC8Uev6z9yMEuBFBzhFxhEZw,http://www.youtube.com/channel/UC8Uev6z9yMEuBFBzhFxhEZw,Scorpio Jo
UC8cOUGhxx0JT3h4BybX00Qg,http://www.youtube.com/channel/UC8cOUGhxx0JT3h4BybX00Qg,Jake Paul
UC8h8NJG9gacZ5lAJJvhD0fQ,http://www.youtube.com/channel/UC8h8NJG9gacZ5lAJJvhD0fQ,NardwuarServiette
UC8o8oDMfm8q8jyXtlQt_tiA,http://www.youtube.com/channel/UC8o8oDMfm8q8jyXtlQt_tiA,optiMiskit
UC8rVJyj4zE0S9-sccMLifIA,http://www.youtube.com/channel/UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky
UC8uT9cgJorJPWu7ITLGo9Ww,http://www.youtube.com/channel/UC8uT9cgJorJPWu7ITLGo9Ww,The 8-Bit Guy
UC96emsA6tcvrIDVyJxbLtqQ,http://www.youtube.com/channel/UC96emsA6tcvrIDVyJxbLtqQ,jaw
UC9AVluvOpI9OlWN98J8R64A,http://www.youtube.com/channel/UC9AVluvOpI9OlWN98J8R64A,Rotten Apple
UC9BQIYM1Y6Vt7MrlNRRU8GA,http://www.youtube.com/channel/UC9BQIYM1Y6Vt7MrlNRRU8GA,Twister Black
UC9Q3suSdhaOYiGgN3L9BJwg,http://www.youtube.com/channel/UC9Q3suSdhaOYiGgN3L9BJwg,Purpled
UC9U8CIOx3nTimoKC8j0y-oA,http://www.youtube.com/channel/UC9U8CIOx3nTimoKC8j0y-oA,Dreamville
UC9ecwl3FTG66jIKA9JRDtmg,http://www.youtube.com/channel/UC9ecwl3FTG66jIKA9JRDtmg,SiIvaGunner
UC9f3M_UuONGGRpdlqWKeIKg,http://www.youtube.com/channel/UC9f3M_UuONGGRpdlqWKeIKg,NickMom
UC9mvRrl9o7rG65ABsGVvDBw,http://www.youtube.com/channel/UC9mvRrl9o7rG65ABsGVvDBw,mysticat
UC9t2RlHUshAARQNGe3tfk0A,http://www.youtube.com/channel/UC9t2RlHUshAARQNGe3tfk0A,GoldenGully
UC9z7EZAbkphEMg0SP7rw44A,http://www.youtube.com/channel/UC9z7EZAbkphEMg0SP7rw44A,carykh
UCA06V9S19zBWIVUSe65qM5g,http://www.youtube.com/channel/UCA06V9S19zBWIVUSe65qM5g,Sperm Racing
UCA0mlN90EHCizvo101nbr-g,http://www.youtube.com/channel/UCA0mlN90EHCizvo101nbr-g,NileRed 2
UCAMY_WdIgrjS89oM2pHOmlA,http://www.youtube.com/channel/UCAMY_WdIgrjS89oM2pHOmlA,SlopFilms
UCARGQz4WXW0HCb_6uiU9Jfw,http://www.youtube.com/channel/UCARGQz4WXW0HCb_6uiU9Jfw,Contendo PLUS
UCAXQEMlIZpWmf9IzrRSEvAQ,http://www.youtube.com/channel/UCAXQEMlIZpWmf9IzrRSEvAQ,Yuki Tsunoda
